expression,reading,meaning,tags,guid
解除,かいじょ,해제,JLPT_1 JLPT,9W$W{}H[x$
会心,かいしん,"회심, 마음에 듦",JLPT_1 JLPT,9=boki>ghm
概説,がいせつ,개설,JLPT_1 JLPT,d$I)(aB~!b
(改訂)版,(かいてい)ばん,(개정)판,JLPT_1 JLPT,t{NG;+b~a[
該当,がいとう,해당,JLPT_1 JLPT,"l#vI,!H-5@"
介入,かいにゅう,개입,JLPT_1 JLPT,8oJD~.&2!3
概念,がいねん,개념,JLPT_1 JLPT,"-vIq(,5c4T"
介抱,かいほう,"간호, 병구완",JLPT_1 JLPT,kU?s`IwfKl
顔が広い,かおがひろい,발이 넓다,JLPT_1 JLPT,$IVY&{!{I@
掲げる,かかげる,"내걸다, 내세우다",JLPT_1 JLPT,"ZLn@Sd2=K,"
確実,かくじつ,확실함,JLPT_1 JLPT,dVy11w~%4o
革新,かくしん,혁신,JLPT_1 JLPT,]e3t#~7Iy7
確保,かくほ,확보,JLPT_1 JLPT,m~ED`pmiI8
駆けつける,かけつける,"서둘러 가다, 급히 달려가다",JLPT_1 JLPT,Z+/3r-e|@%
可決される,かけつされる,가결되다,JLPT_1 JLPT,unyG!x_Y7E
加減,かげん,"가감, 조절",JLPT_1 JLPT,8D8WG3KR5+
加工,かこう,가공,JLPT_1 JLPT,@$EGA}c6ne
かさばる,かさばる,부피가 커지다,JLPT_1 JLPT,)|(hY~BRt<
過疎,かそ,과소(지나치게 성김),JLPT_1 JLPT,",{q2-r|b[D"
かたわら,かたわら,"옆, 곁",JLPT_1 JLPT,ZJJvVw0CpT
かつ,かつ,"동시에, 한편",JLPT_1 JLPT,-|&7]ULgse
画期的,かっきてき,획기적임,JLPT_1 JLPT,zOG6H5+lC9
合併,がっぺい,합병,JLPT_1 JLPT,C^SplQ%U!?
稼働,かどう,가동,JLPT_1 JLPT,"zsD!q2O1F,"
稼動,かどう,가동,JLPT_1 JLPT,TE8Q/}8_dl
加筆する,かひつする,덧붙이다,JLPT_1 JLPT,E!p3Sx}zDF
過密,かみつ,"과밀(함), 빽빽함",JLPT_1 JLPT,HfOS]F17J<
がやがやと,がやがやと,왁자지껄,JLPT_1 JLPT,w6:LG?P(RG
がらりと,がらりと,"확, 싹(갑자기 변하는 모양)",JLPT_1 JLPT,-ZlH%D.db1
ガレージ,ガレージ,차고,JLPT_1 JLPT,fc%+Ck):[a
過労,かろう,과로,JLPT_1 JLPT,hy79pz(:T[
かろうじて,かろうじて,"겨우, 간신히",JLPT_1 JLPT,:h.W?olhd;
完結,かんけつ,완결,JLPT_1 JLPT,n`G%?<Un(N
還元,かんげん,환원,JLPT_1 JLPT,35w$1[;F7E
頑固,がんこ,완고함,JLPT_1 JLPT,?alv)hy]Ph
