expression,reading,meaning,tags,similar_guid,guid
穏やかな,おだやかな,"온화한, 평온한",JLPT_1 JLPT,hOo5NB`+U|,x1#-jncxA_
回想する,かいそうする,회상하다,JLPT_1 JLPT,r=!IA!)2E*,i5X-C!!4h8
思いかえす,おもいかえす,다시 생각하다,JLPT_1 JLPT,i5X-C!!4h8,r=!IA!)2E*
架空の,かくうの,가공의,JLPT_1 JLPT,`B#OD=uLVQ,Mf?`oGCWL-
想像の,そうぞうの,상상의,JLPT_1 JLPT,Mf?`oGCWL-,`B#OD=uLVQ
格段に,かくだんに,현격히,JLPT_1 JLPT,NJjbM{>Cu+,FS8VS!~Onr
大幅に,おおはばに,큰폭으로,JLPT_1 JLPT,FS8VS!~Onr,NJjbM{>Cu+
かたくなな,かたくなな,완고한,JLPT_1 JLPT,T{Xzvq&jB+,/JJe-yMXD@
頑固な,がんこな,완고한,JLPT_1 JLPT,/JJe-yMXD@,T{Xzvq&jB+
画期的な,かっきてきな,획기적인,JLPT_1 JLPT,2z.V#0]x.Z,@wHi*^gzOH
今までになく新しい,いままでになくあたらしい,지금까지 없이 새로운,JLPT_1 JLPT,@wHi*^gzOH,2z.V#0]x.Z
かねがね,かねがね,"전부터, 미리",JLPT_1 JLPT,"]>3#NC,sT^","WD~ec|CG-,"
以前から,いぜんから,전부터,JLPT_1 JLPT,"WD~ec|CG-,","]>3#NC,sT^"
寡黙な,かもくな,과묵한,JLPT_1 JLPT,:?C).Wyucu,{>$j}cC?Aw
口数が少ない,くちかずがすくない,말수가 적은,JLPT_1 JLPT,{>$j}cC?Aw,:?C).Wyucu
かろうじて,かろうじて,"겨우, 간신히",JLPT_1 JLPT,xstCANXe.y,>qf%~_&o*1
なんとか,なんとか,"그럭저럭, 간신히",JLPT_1 JLPT,>qf%~_&o*1,xstCANXe.y
肝心な,かんじんな,중요한,JLPT_1 JLPT,ZO]Udp3t|C,K:$44?B]<|
重要な,じゅうような,중요한,JLPT_1 JLPT,K:$44?B]<|,ZO]Udp3t|C
簡素な,かんそな,간소한,JLPT_1 JLPT,X>nJ{p;4=>,!#9cCX3YMD
シンプルな,しんぷるな,단순한,JLPT_1 JLPT,!#9cCX3YMD,X>nJ{p;4=>
気掛かり,きがかり,걱정,JLPT_1 JLPT,:Xib@v%}fF,aC!K>GttYS
心配,しんぱい,걱정,JLPT_1 JLPT,aC!K>GttYS,:Xib@v%}fF
拮抗する,きっこうする,팽팽하다,JLPT_1 JLPT,iW;IDFu114,_Z<KVGTux4
差がない,さがない,차이가 없다,JLPT_1 JLPT,_Z<KVGTux4,iW;IDFu114
気ままな,きままな,"제멋대로의, 자유로운",JLPT_1 JLPT,0c05&QCixc,^M2f6i&&e=
自由な,じゆうな,자유로운,JLPT_1 JLPT,^M2f6i&&e=,0c05&QCixc
寄与,きよ,기여,JLPT_1 JLPT,3LLfo;_sy},&_x${MTVjE
貢献,こうけん,공헌,JLPT_1 JLPT,&_x${MTVjE,3LLfo;_sy}
凝視した,ぎょうしした,응시했다,JLPT_1 JLPT,i?=:WEs_&L,08$P(^;p+%
じっと見た,じっとみた,지그시 봤다,JLPT_1 JLPT,08$P(^;p+%,i?=:WEs_&L
仰天した,ぎょうてんした,깜짝 놀랐다,JLPT_1 JLPT,Fm8{9hQ.JA,30x-R|PI=$
とても驚いた,とてもおどろいた,아주 놀랐다,JLPT_1 JLPT,30x-R|PI=$,Fm8{9hQ.JA
極力,きょくりょく,"최대한, 힘껏",JLPT_1 JLPT,hR#F%fDMEj,M8*;1S7>!.
できる限り・できるだけ,できるかぎり・できるだけ,가능한 한,JLPT_1 JLPT,M8*;1S7>!.,hR#F%fDMEj
吟味する,ぎんみする,"음미하다, 조사하다",JLPT_1 JLPT,*tcuDvjpS:,>G3%M&mPfk
検討する,けんとうする,검토하다,JLPT_1 JLPT,>G3%M&mPfk,*tcuDvjpS:
くつろぐ,くつろぐ,편안히 쉬다,JLPT_1 JLPT,p}IJAC~GqZ,"u-EAuxwL,K"
ゆっくりする,ゆっくりする,편안히 하다,JLPT_1 JLPT,"u-EAuxwL,K",p}IJAC~GqZ
工面する,くめんする,마련하다,JLPT_1 JLPT,lG%k2zgkdT,V;CiB?i`S$
用意する,よういする,"마련하다, 준비하다",JLPT_1 JLPT,V;CiB?i`S$,lG%k2zgkdT
クレーム,くれーむ,"클레임, 불만",JLPT_1 JLPT,VhfPC_V`Cy,mK97@{xsEe
苦情,くじょう,"불평, 불만",JLPT_1 JLPT,mK97@{xsEe,VhfPC_V`Cy
けげんな,けげんな,의아한,JLPT_1 JLPT,f$mL5Z:$zj,)~:y%.P+P5
不思議そうな,ふしぎそうな,"이상한, 신기한",JLPT_1 JLPT,)~:y%.P+P5,f$mL5Z:$zj
けなされる,けなされる,비방의 말을 듣다,JLPT_1 JLPT,M6V`+{gypX,0c@o&=^T8x
悪く言われる,わるくいわれる,나쁜 말을 듣다,JLPT_1 JLPT,0c@o&=^T8x,M6V`+{gypX
懸念される,けねんされる,"염려되다, 우려되다",JLPT_1 JLPT,N(~|SAiobl,"bUQ#O,`wA%"
心配される,しんぱいされる,걱정되다,JLPT_1 JLPT,"bUQ#O,`wA%",N(~|SAiobl
故意に,こいに,고의로,JLPT_1 JLPT,JLfk63c(ew,367|AFn1Gj
わざと,わざと,일부러,JLPT_1 JLPT,367|AFn1Gj,JLfk63c(ew
互角だ,ごかくだ,막상막하다,JLPT_1 JLPT,?e#r[#^>wc,@tQlv[#g[-
大体同じだ,だいたいおなじだ,대체적으로 같다,JLPT_1 JLPT,@tQlv[#g[-,?e#r[#^>wc
克明に,こくめいに,"극명하게, 정확하고 세밀하게",JLPT_1 JLPT,@`S5yg>EdG,&Cogfs2Q:6
詳しくて丁寧に,くわしくてていねいに,자세하고 주의 깊게,JLPT_1 JLPT,&Cogfs2Q:6,@`S5yg>EdG
誇張して,こちょうして,과장해서,JLPT_1 JLPT,~3C::W_*9B,7^}}z%ULP}
