expression,reading,meaning,tags,similar_guid,guid
からかって,からかって,놀리고,JLPT_1 JLPT,qu|`Uy!}Z3,"k~2l_({,s!"
ふいに,ふいに,갑자기,JLPT_1 JLPT,))N:WGzuaI,7@6lc?+e(l
突然,とつぜん,갑자기,JLPT_1 JLPT,7@6lc?+e(l,))N:WGzuaI
不審な,ふしんな,수상한,JLPT_1 JLPT,jKCQ^zv$J7,=j3YpegTtf
怪しい,あやしい,수상한,JLPT_1 JLPT,=j3YpegTtf,jKCQ^zv$J7
不用意,ふようい,조심성이 없음,JLPT_1 JLPT,p]n#<Qs{C3,Q.JAedID~|
不注意,ふちゅうい,부주의함,JLPT_1 JLPT,Q.JAedID~|,p]n#<Qs{C3
不慮,ふりょ,"뜻밖, 의외",JLPT_1 JLPT,*~MmH>z2P},Ho#7_G5JDE
思いがけない,おもいがけない,"뜻밖이다, 의외이다",JLPT_1 JLPT,Ho#7_G5JDE,*~MmH>z2P}
紛糾した,ふんきゅうした,시끄러워졌다,JLPT_1 JLPT,`=0e.eM=|X,hWN/Qxr<jA
混乱した,こんらんした,혼란스러웠다,JLPT_1 JLPT,hWN/Qxr<jA,`=0e.eM=|X
奮闘する,ふんとうする,분투하다,JLPT_1 JLPT,RD7^XP*9Mr,"EPGcL,1$jP"
必死に頑張る,ひっしにがんばる,필사적으로 힘내다,JLPT_1 JLPT,"EPGcL,1$jP",RD7^XP*9Mr
閉口した,へいこうした,"질렸다, 곤란했다",JLPT_1 JLPT,+0C?.xbd)c,"-o;5,(H9oh"
困った,こまった,곤란했다,JLPT_1 JLPT,"-o;5,(H9oh",+0C?.xbd)c
弁解して,べんかいして,변명하고,JLPT_1 JLPT,k1mt!rzPk@,FM%Sw2-<uh
言い訳して,いいわけして,변명하고,JLPT_1 JLPT,FM%Sw2-<uh,k1mt!rzPk@
妨害する,ぼうがいする,방해하다,JLPT_1 JLPT,uIGt.:SRI{,uD/*U]1k@J
じゃまする,じゃまする,방해하다,JLPT_1 JLPT,uD/*U]1k@J,uIGt.:SRI{
抱負,ほうふ,포부,JLPT_1 JLPT,LOQqWdr>1*,Od-;k$G;iW
決意,けつい,결의,JLPT_1 JLPT,Od-;k$G;iW,LOQqWdr>1*
没頭する,ぼっとうする,몰두하다,JLPT_1 JLPT,w0Gd{KG(#U,"C-1,i6d[a$"
熱中する,ねっちゅうする,열중하다,JLPT_1 JLPT,"C-1,i6d[a$",w0Gd{KG(#U
ぼやいている,ぼやいている,투덜거리고 있다,JLPT_1 JLPT,{-m`y=>Uxc,ix^Ak_B>_x
愚痴を言っている,ぐちをいっている,투덜거리고 있다,JLPT_1 JLPT,ix^Ak_B>_x,{-m`y=>Uxc
まっとうする,まっとうする,"완수하다, 다하다",JLPT_1 JLPT,2+;!O~H9=e,IhgDoc8*e[
完了する,かんりょうする,완료하다,JLPT_1 JLPT,IhgDoc8*e[,2+;!O~H9=e
まばらだ,まばらだ,드문드문하다,JLPT_1 JLPT,v:=gE~uIep,aC7ZU8ldv&
少ない,すくない,적다,JLPT_1 JLPT,aC7ZU8ldv&,v:=gE~uIep
見合わせる,みあわせる,"실행을 미루다, 보류하다",JLPT_1 JLPT,%s6ZKX>}R.,5_yGF4P+^?
中止する,ちゅうしする,중지하다,JLPT_1 JLPT,5_yGF4P+^?,%s6ZKX>}R.
脈絡,みゃくらく,맥락,JLPT_1 JLPT,=x%|dgD]xm,r;5bWHDuM)
つながり,つながり,"연계, 연결",JLPT_1 JLPT,r;5bWHDuM),=x%|dgD]xm
無償で,むしょうで,무상으로,JLPT_1 JLPT,XxuX=ASMso,e`i5;~kT%Z
ただで,ただで,무료로,JLPT_1 JLPT,e`i5;~kT%Z,XxuX=ASMso
むっとした,むっとした,화가 났다,JLPT_1 JLPT,PUIo7FZ+D&,#z#}ozq&j]
怒った,おこった,화가 났다,JLPT_1 JLPT,#z#}ozq&j],PUIo7FZ+D&
めいめいに,めいめいに,각각에게,JLPT_1 JLPT,_e7I*$|l?},o>d8m9+}`~
一人一人に,ひとりひとりに,한 사람 한 사람에게,JLPT_1 JLPT,o>d8m9+}`~,_e7I*$|l?}
メカニズム,めかにずむ,메커니즘,JLPT_1 JLPT,/&P1y!8Vy4,psnZBBOt[m
仕組み,しくみ,구조,JLPT_1 JLPT,psnZBBOt[m,/&P1y!8Vy4
珍しい,めずらしい,"드문, 희귀한",JLPT_1 JLPT,G74oyVstU&,"tVh2,KzUf,"
異例の,いれいの,이례적인,JLPT_1 JLPT,"tVh2,KzUf,",G74oyVstU&
もくろむ,もくろむ,계획하다,JLPT_1 JLPT,",Wmj8pY>h9",g6NjA)P_eZ
計画する,けいかくする,계획하다,JLPT_1 JLPT,g6NjA)P_eZ,",Wmj8pY>h9"
目下,もっか,"현재, 지금",JLPT_1 JLPT,(4zFW4SQ8`,"E&W[Nby,|D"
今,いま,지금,JLPT_1 JLPT,"E&W[Nby,|D",(4zFW4SQ8`
厄介な,やっかいな,"귀찮은, 번거로운",JLPT_1 JLPT,cIsE*]0E35,#N^A(N?Mm*
面倒な,めんどうな,귀찮은,JLPT_1 JLPT,#N^A(N?Mm*,cIsE*]0E35
やむを得ず,やむをえず,어쩔 수 없이,JLPT_1 JLPT,F76{}Wo20.,qs>LKd_T8+
しかたなく,しかたなく,어쩔 수 없이,JLPT_1 JLPT,qs>LKd_T8+,F76{}Wo20.
やつれる,やつれる,야위다,JLPT_1 JLPT,Mciuu!P%z>,:zbE$9%`<W
やせ衰える,やせおとろえる,"바짝 마르다, 수척해지다",JLPT_1 JLPT,:zbE$9%`<W,Mciuu!P%z>
ゆとり,ゆとり,여유,JLPT_1 JLPT,@{T*.^].i%,"{6f]9,b9n["
余裕,よゆう,여유,JLPT_1 JLPT,"{6f]9,b9n[",@{T*.^].i%
落胆する,らくたんする,낙담하다,JLPT_1 JLPT,(&&K@9Zt(.,:l{5@u-!_5
がっかりする,がっかりする,실망하다,JLPT_1 JLPT,:l{5@u-!_5,(&&K@9Zt(.
リスク,りすく,위험,JLPT_1 JLPT,KhmDC&MLMZ,1rT@`GYyon
危険,きけん,위험,JLPT_1 JLPT,1rT@`GYyon,KhmDC&MLMZ
ルーズだ,るーずだ,"루즈하다, 허술하다",JLPT_1 JLPT,XZTQ^yN]rD,Fd!9[#q.li
だらしない,だらしない,칠칠치 못하다,JLPT_1 JLPT,Fd!9[#q.li,XZTQ^yN]rD
歴然としている,れきぜんとしている,확실하다,JLPT_1 JLPT,7-YAe&GawJ,gp3f&jOWnk
はっきりしている,はっきりしている,분명하다,JLPT_1 JLPT,gp3f&jOWnk,7-YAe&GawJ
朗報,ろうほう,"낭보, 기쁜 소식",JLPT_1 JLPT,"b_{70t,uRG",^K`Lp^@mM8
うれしい知らせ,うれしいしらせ,기쁜 소식,JLPT_1 JLPT,^K`Lp^@mM8,"b_{70t,uRG"
ろくに,ろくに,"제대로, 충분히",JLPT_1 JLPT,Cy0vT{p?(l,QX!s(%=1g8
たいして,たいして,"그다지, 별로",JLPT_1 JLPT,QX!s(%=1g8,Cy0vT{p?(l
ロスする,ろすする,낭비하다,JLPT_1 JLPT,yB=nm@5Uy&,3lh(gOW5Xa
無駄にする,むだにする,"헛되게 하다, 낭비하다",JLPT_1 JLPT,3lh(gOW5Xa,yB=nm@5Uy&
わずらわしい,わずらわしい,"번거로운, 귀찮은",JLPT_1 JLPT,VB{j)+B$RD,=`~-+tW0DM
面倒な,めんどうな,귀찮은,JLPT_1 JLPT,=`~-+tW0DM,VB{j)+B$RD
