expression,reading,meaning,tags,guid
細心,さいしん,세심함,JLPT_1 JLPT,RHW@3Xb8US
指図,さしず,"지시, 지휘",JLPT_1 JLPT,AN>f4`Wv6t
察する,さっする,"헤아리다, 살피다",JLPT_1 JLPT,jgIwmTzaUB
作動,さどう,작동,JLPT_1 JLPT,Nwx<<./xk@
しがみつく,しがみつく,매달리다,JLPT_1 JLPT,~Mi6L)pQ/6
資質,ししつ,자질,JLPT_1 JLPT,"FW0E_6,o]%"
失脚する,しっきゃくする,실각하다,JLPT_1 JLPT,>Jyt#QJp=8
質素,しっそ,검소함,JLPT_1 JLPT,SkWNhz0W&/
実に,じつに,실로,JLPT_1 JLPT,rN?7U?0cME
しなやか,しなやか,탄력이 있고 유연함,JLPT_1 JLPT,KF6dOQWRJ$
辞任,じにん,사임,JLPT_1 JLPT,q~j)cnp;^7
しぶとい,しぶとい,"고집이 세다, 완고하다",JLPT_1 JLPT,k<Pg=W-nJ;
遮断する,しゃだんする,차단하다,JLPT_1 JLPT,Ga*E~kJ>)j
終日,しゅうじつ,종일,JLPT_1 JLPT,"srA{,8BJ/L"
執着,しゅうちゃく,집착,JLPT_1 JLPT,vI6y(v2*A^
重複,じゅうふく,중복,JLPT_1 JLPT,p![gg$W+^E
収容する,しゅうようする,수용하다,JLPT_1 JLPT,"=Z%kD6S,14"
出荷,しゅっか,출하,JLPT_1 JLPT,b3>eENi22@
照合,しょうごう,대조,JLPT_1 JLPT,z#zrL2tny)
昇進,しょうしん,승진,JLPT_1 JLPT,LJu7ed`w@0
処置,しょち,"처치, 조치",JLPT_1 JLPT,h4v/k.T+wt
ショック,しょっく,"쇼크, 충격",JLPT_1 JLPT,DPvijcf.pP
退く,しりぞく,"물러나다, 후퇴하다",JLPT_1 JLPT,"|xpj,1g}cY"
仕業,しわざ,"소행, 짓",JLPT_1 JLPT,X|nv0F-@ZE
親善,しんぜん,친선,JLPT_1 JLPT,uGyrS44[-%
素早い,すばやい,재빠르다,JLPT_1 JLPT,.c)~a]q4i=
ずばりと,ずばりと,딱(정곡을 정확히 찌르는 모양),JLPT_1 JLPT,MLwSih)fee
ずらっと,ずらっと,"늘어선 모양, 주욱",JLPT_1 JLPT,W^-^*w]i;7
正当な,せいとうな,정당한,JLPT_1 JLPT,3LMABJ@LUt
絶大な,ぜつだいな,절대적인,JLPT_1 JLPT,~TJy1XJ3It
絶滅,ぜつめつ,"절멸, 멸종",JLPT_1 JLPT,}N5km1Gp5/
相応,そうおう,"상응, 어울림",JLPT_1 JLPT,LljRR]uUAg
総じて,そうじて,"대체로, 일반적으로",JLPT_1 JLPT,"mK6N,9zECt"
底力,そこぢから,저력,JLPT_1 JLPT,MZ$-H-|g5A
損なう,そこなう,① 망가뜨리다 ② (기분·성질) 상하게 하다,JLPT_1 JLPT,"AJ-R?,4w}k"
そそる,そそる,(식욕 등을) 돋우다,JLPT_1 JLPT,1uhYq.>1fO
備え付ける,そなえつける,"비치하다, 설비하다",JLPT_1 JLPT,`$op~F^X[J
そらす,そらす,"(딴 데로) 돌리다, 빗나가게 하다",JLPT_1 JLPT,S#{Grp[gdq
耐えがたい,たえがたい,"(괴로움, 자극) 견디기 힘들다",JLPT_1 JLPT,"fZjY)T}s,d"
打開,だかい,타개,JLPT_1 JLPT,f1K&OCOZ%]
巧み,たくみ,솜씨가 좋음,JLPT_1 JLPT,"O:}9*2zVw,"
携わる,たずさわる,"(어떤 일) 관계하다, 종사하다",JLPT_1 JLPT,i8u#X]V6IW
脱却する,だっきゃくする,"탈피하다, 벗어나다",JLPT_1 JLPT,EbvT-tnU%@
たやすい,たやすい,"쉽다, 용이하다",JLPT_1 JLPT,X$SmOV<#Nh
単一,たんいつ,단일,JLPT_1 JLPT,6.bagGX/$8
断じて,だんじて,결코,JLPT_1 JLPT,dMT*>_OIpj
緻密な,ちみつな,치밀한,JLPT_1 JLPT,F$|sW.hI(P
忠実,ちゅうじつ,충실함,JLPT_1 JLPT,to{N0ekNyB
中毒,ちゅうどく,중독,JLPT_1 JLPT,afXxDxan^a
調達,ちょうたつ,조달,JLPT_1 JLPT,N?wwpuV45G
痛烈な,つうれつな,통렬한,JLPT_1 JLPT,Ar5`N2cxDX
使いこなす,つかいこなす,잘(능숙하게) 다루다,JLPT_1 JLPT,~6CD[l>$iU
つぶやく,つぶやく,"중얼거리다, 투덜거리다",JLPT_1 JLPT,0emQZMBIJ)
手厚い,てあつい,"극진하다, 융숭하다",JLPT_1 JLPT,8cTa(5!2)d
提起,ていき,제기,JLPT_1 JLPT,LS<U<r?a^U
手痛い,ていたい,"뼈아프다, 타격이 크다",JLPT_1 JLPT,ji0|r=Ld9w
手際,てぎわ,"솜씨, 수완",JLPT_1 JLPT,"JXO[nON,l}"
撤回,てっかい,철회,JLPT_1 JLPT,<`zkW/JWq2
デマ,でま,"헛소문, 유언비어",JLPT_1 JLPT,YaP+~b0N11
問い詰める,といつめる,"추궁하다, 힐난하다",JLPT_1 JLPT,_tv(nez{Qg
統合,とうごう,통합,JLPT_1 JLPT,k3Y&7$KpoW
どうやら,どうやら,"어쩐지, 아무래도",JLPT_1 JLPT,ucBIj2.l6q
とく,とく,같다,JLPT_1 JLPT,9F@p0JI{Q=
特産,とくさん,특산,JLPT_1 JLPT,eh++L6#2x5
遂げる,とげる,이루다,JLPT_1 JLPT,dWz~z;f>#$
とっくに,とっくに,"훨씬 전에, 벌써",JLPT_1 JLPT,2Tc;Cb_e^G
とっさに,とっさに,순간적으로,JLPT_1 JLPT,3IV>@Y[+%}
突如,とつじょ,"갑자기, 별안간",JLPT_1 JLPT,*/NRp!kFjT
なつく,なつく,따르다,JLPT_1 JLPT,WQ1TD^0vw}
なんとか,なんとか,"어떻게든, 그럭저럭",JLPT_1 JLPT,sD&twE;>oM
にぎわう,にぎわう,"활기차다, 붐비다",JLPT_1 JLPT,=$0tncQ2Yq
にじむ,にじむ,번지다,JLPT_1 JLPT,j<%IW&6tr_
抜き打ち,ぬきうち,"갑자기, 불시에",JLPT_1 JLPT,W2x2N2?VAS
入手,にゅうしゅ,"입수, 손에 넣음",JLPT_1 JLPT,79/nmgBaW5
望ましい,のぞましい,바람직하다,JLPT_1 JLPT,}nhLiu(z|Z
乗り出す,のりだす,"적극적으로 나서다, 착수하다",JLPT_1 JLPT,pH)8^>-<Z9
ののしる,ののしる,"욕을 퍼붓다, 매도하다",JLPT_1 JLPT,"KMy1,/2LP)"
配属,はいぞく,배속,JLPT_1 JLPT,E&GZ:=wgkN
配布,はいふ,배포,JLPT_1 JLPT,"W06-@z:,ht"
はがす,はがす,"벗기다, 떼다",JLPT_1 JLPT,|`J[~1fbzA
はかどる,はかどる,진척되다,JLPT_1 JLPT,o&.&Gu5;]`
迫力,はくりょく,"박력, 압도적인 힘",JLPT_1 JLPT,#$T@>dT8Dq
発散,はっさん,발산,JLPT_1 JLPT,"$$.3c,<niO"
抜粋,ばっすい,발췌,JLPT_1 JLPT,<MbWUEMuW<
はなはだしい,はなはだしい,"매우 심하다, 대단하다",JLPT_1 JLPT,KuahNKWoHP
腹が立つ,はらがたつ,화가 나다,JLPT_1 JLPT,}S@_:WfF>1
煩雑,はんざつ,번잡함(번거롭고 복잡함),JLPT_1 JLPT,y9a*.SA<h]
繁盛,はんじょう,"번성, 번창",JLPT_1 JLPT,f#R$+FHmsr
ひたむき,ひたむき,"외곬으로, 한결같이",JLPT_1 JLPT,jBZl:b.0j3
人一倍,ひといちばい,"두 배, 갑절, 한층 더",JLPT_1 JLPT,:5E4F:3R]c
人手,ひとで,일손,JLPT_1 JLPT,Q1gYMEWg/!
ひとまず,ひとまず,"일단, 하여튼",JLPT_1 JLPT,"/={xiXT,gw"
秘める,ひめる,① 숨기다 ② (속에) 간직하다,JLPT_1 JLPT,1BsF$V}!X=
拍子,ひょうし,① 박자 ② ~하는 바람에,JLPT_1 JLPT,)8bvmy:.q5
品種,ひんしゅ,품종,JLPT_1 JLPT,s}=Jl_^BJ?
風潮,ふうちょう,풍조,JLPT_1 JLPT,hDnpKG2iTn
ぶかぶか,ぶかぶか,헐렁헐렁,JLPT_1 JLPT,QR{m~yWRQV
不順,ふじゅん,불순함,JLPT_1 JLPT,6*LltxBw/_
復旧,ふっきゅう,복구,JLPT_1 JLPT,w_t4?!iNO(
赴任,ふにん,부임,JLPT_1 JLPT,"1OXe^:epf,"
不服,ふふく,"불만, 납득이 가지 않음",JLPT_1 JLPT,#$BK`cb1bO
不満,ふまん,불만,JLPT_1 JLPT,K^6;ey~P9G
ブランク,ぶらんく,"여백, 공백 기간",JLPT_1 JLPT,Yf)jG65Z-A
ぺこぺこ,ぺこぺこ,굽실굽실,JLPT_1 JLPT,6HN[IvB|vv
へりくだる,へりくだる,자기를 낮추다,JLPT_1 JLPT,7q4WRC-hEl
ボイコット,ぼいこっと,"보이콧, 불매 동맹",JLPT_1 JLPT,kBm>q{Qy4s
発足,ほっそく,(단체의) 발족,JLPT_1 JLPT,/&?pUY&v05
没頭,ぼっとう,몰두,JLPT_1 JLPT,==_%M!m5kC
ぽつぽつ,ぽつぽつ,"슬슬, 조금씩",JLPT_1 JLPT,ab#b(>ZB#(
補填する,ほてんする,"보충하다, 채우다",JLPT_1 JLPT,"3I6,k9+Oak"
ほどける,ほどける,(저절로) 풀어지다,JLPT_1 JLPT,"tOK},4N=Kw"
程遠い,ほどとおい,"동떨어지다, 차이가 많이 나다",JLPT_1 JLPT,Op%[t8fKV3
ほほえましい,ほほえましい,흐뭇하다,JLPT_1 JLPT,mhbIrblXso
滅びる,ほろびる,"멸망하다, 쇠퇴하다",JLPT_1 JLPT,:ALmct*1O]
保留,ほりゅう,보류,JLPT_1 JLPT,w+4mqBtSQc
本場,ほんば,본고장,JLPT_1 JLPT,@%_5og4@$%
交える,まじえる,"섞다, 교차시키다, 주고받다",JLPT_1 JLPT,0Y(({$D$Me
まちまち,まちまち,"각기 다름, 가지각색",JLPT_1 JLPT,3Pnw+k3(@c
真っ先,まっさき,맨 먼저,JLPT_1 JLPT,%43Cn^r4Pc
まるまる,まるまる,"전부, 완전히",JLPT_1 JLPT,2wpaZbeZ%l
まろやかな,まろやかな,"부드러운, 순한",JLPT_1 JLPT,]h+?Zx%|^9
満喫,まんきつ,만끽,JLPT_1 JLPT,TVTbKvfYo7
見失う,みうしなう,보던 것을 놓치다,JLPT_1 JLPT,WF/ir_zK;c
見落とす,みおとす,"간과하다, 빠뜨리고 보다",JLPT_1 JLPT,R{M(BFA:N3
見込み,みこみ,① 예상 ② 장래성,JLPT_1 JLPT,/rQK~juVKE
満たない,みたない,(기준·한도에 차지 않아) 부족하다,JLPT_1 JLPT,1<h+meLPgx
密集,みっしゅう,밀집,JLPT_1 JLPT,7&RvGf>aQd
無造作に,むぞうさに,"손쉽게, 간단히, 아무렇게나",JLPT_1 JLPT,LwKy%`tJ]Q
目がさえる,めがさえる,"잠이 안 오다, 눈이 말똥말똥하다",JLPT_1 JLPT,]iimZ3z#VB
めきめき,めきめき,"눈에 띄게 (성장), 부쩍부쩍",JLPT_1 JLPT,vYCku9iHYa
目先,めさき,"① 눈앞 ② 당장, 현재",JLPT_1 JLPT,D:tI}WZFo+
目覚ましい,めざましい,"눈부시다, 놀랍다",JLPT_1 JLPT,)t/0J~=BLf
目まぐるしい,めまぐるしい,"눈이 핑핑 돌다, 변화가 빠르다",JLPT_1 JLPT,`[sH)W]BaB
目安,めやす,"목표, 기준",JLPT_1 JLPT,+*^pOQ0rLo
面識,めんしき,"면식, 안면",JLPT_1 JLPT,Jkr%0W|ZK-
免除,めんじょ,면제,JLPT_1 JLPT,"N*m,n=[D9@"
もたらす,もたらす,"가져오다, 초래하다",JLPT_1 JLPT,SX|okG43X&
もはや,もはや,"이제는, 벌써",JLPT_1 JLPT,FBroOEE`r+
もろい,もろい,"약하다, 무너지기 쉽다",JLPT_1 JLPT,goJ7>$V*t2
養う,やしなう,"양육하다, 기르다",JLPT_1 JLPT,.|&ry1Y0{-
優位,ゆうい,우위(다른 것보다 유리한 입장),JLPT_1 JLPT,C*H1}{CYS+
有数,ゆうすう,"유수, 손꼽힘",JLPT_1 JLPT,q*I}4IdB8c
誘致,ゆうち,(공장이나 기업의) 유치,JLPT_1 JLPT,t2hc9#iMiK
譲る,ゆずる,"넘겨주다, 양도하다",JLPT_1 JLPT,*^VKs@f4+W
ゆとり,ゆとり,"(공간, 시간, 정신, 체력적) 여유",JLPT_1 JLPT,"/vjIni,##["
要請,ようせい,요청,JLPT_1 JLPT,",*i^z^`WB6"
様相,ようそう,"양상, 모양, 모습",JLPT_1 JLPT,n6)9QOU6LT
要望,ようぼう,"요망, 간절히 바람",JLPT_1 JLPT,&SXkXx-.i)
よほど,よほど,"훨씬, 상당히",JLPT_1 JLPT,";(@0U8sS5,"
リタイア,りたいあ,① 기권 ② 은퇴,JLPT_1 JLPT,Y%Oc7x/-4H
両立,りょうりつ,"양립, 병행",JLPT_1 JLPT,?Adb>xd4ZX
連携,れんけい,제휴,JLPT_1 JLPT,W_VL4bA0>P
露骨,ろこつ,노골적임,JLPT_1 JLPT,>!t:wD%>Gk
わざわざ,わざわざ,일부러,JLPT_1 JLPT,6O8AmZsYDd
